,train,val,test
0,TCGA-2H-A9GF-01Z-00-DX1.FA1016AF-3FE3-45DC-A77B-F1ACC2B33B2A.svs,TCGA-2H-A9GI-01Z-00-DX1.02AA1DD3-2082-4B82-B396-957A127D8278.svs,TCGA-2H-A9GI-01Z-00-DX1.02AA1DD3-2082-4B82-B396-957A127D8278.svs
1,TCGA-2H-A9GH-01Z-00-DX1.B2BF80D6-D348-4C5F-A205-6827684BF3B6.svs,TCGA-2H-A9GK-01Z-00-DX1.8C5C5BF2-4BB9-43B2-8F75-3B2782255C29.svs,TCGA-2H-A9GK-01Z-00-DX1.8C5C5BF2-4BB9-43B2-8F75-3B2782255C29.svs
2,TCGA-2H-A9GJ-01Z-00-DX1.F6CC7FC9-85DB-4791-B367-312F1AA3CDA2.svs,TCGA-IG-A3I8-01Z-00-DX1.00D0CD6B-06E7-4F3B-BD24-2E18DE926045.svs,TCGA-IG-A3I8-01Z-00-DX1.00D0CD6B-06E7-4F3B-BD24-2E18DE926045.svs
3,TCGA-2H-A9GL-01Z-00-DX1.8560DF40-122E-4E7F-B2B8-C77769F88ECC.svs,TCGA-IG-A3Y9-01Z-00-DX1.830A7D80-F4B1-4A78-B559-92F4461688E1.svs,TCGA-IG-A3Y9-01Z-00-DX1.830A7D80-F4B1-4A78-B559-92F4461688E1.svs
4,TCGA-2H-A9GM-01Z-00-DX1.DC69739A-98B1-4ACA-94A4-A1B683124D1D.svs,TCGA-IG-A4P3-01Z-00-DX1.C470B2B7-F55E-4E0C-A7E9-B7146AA9CF0E.svs,TCGA-IG-A4P3-01Z-00-DX1.C470B2B7-F55E-4E0C-A7E9-B7146AA9CF0E.svs
5,TCGA-2H-A9GN-01Z-00-DX1.2373BEFC-931F-460D-8F6C-49C424600930.svs,TCGA-IG-A4QS-01Z-00-DX1.4B51BDD5-31F8-48E4-BF1D-A2C66A1B11C3.svs,TCGA-IG-A4QS-01Z-00-DX1.4B51BDD5-31F8-48E4-BF1D-A2C66A1B11C3.svs
6,TCGA-2H-A9GO-01Z-00-DX1.A3AEE5BB-3825-49B4-8F7B-B2CB9015515A.svs,TCGA-IG-A50L-01Z-00-DX1.25755523-4D42-4377-B053-675850520680.svs,TCGA-IG-A50L-01Z-00-DX1.25755523-4D42-4377-B053-675850520680.svs
7,TCGA-2H-A9GQ-01Z-00-DX1.97451E5E-1020-4B75-BF2A-7CDF83CD4734.svs,TCGA-IG-A625-01Z-00-DX1.48DC96DA-6573-4AA3-898A-44B8B55C7451.svs,TCGA-IG-A625-01Z-00-DX1.48DC96DA-6573-4AA3-898A-44B8B55C7451.svs
8,TCGA-2H-A9GR-01Z-00-DX1.612AB333-7732-4761-B6D0-25E52AFF94E7.svs,TCGA-IG-A97H-01Z-00-DX1.DB5FAE75-4F0D-4D25-BE6F-928CA784EEF7.svs,TCGA-IG-A97H-01Z-00-DX1.DB5FAE75-4F0D-4D25-BE6F-928CA784EEF7.svs
9,TCGA-IG-A3QL-01Z-00-DX1.D7C07E36-F35B-4369-A215-159E0085767C.svs,TCGA-JY-A6FA-01Z-00-DX1.F23F28C7-5514-4696-8CA3-30CF367DFEB1.svs,TCGA-JY-A6FA-01Z-00-DX1.F23F28C7-5514-4696-8CA3-30CF367DFEB1.svs
10,TCGA-IG-A3YA-01Z-00-DX1.C2A7B316-44E0-4CA3-B76A-241C61BFE492.svs,TCGA-JY-A6FH-01Z-00-DX1.4065B89C-528B-4D3A-BBE1-81DFE5BD1F4C.svs,TCGA-JY-A6FH-01Z-00-DX1.4065B89C-528B-4D3A-BBE1-81DFE5BD1F4C.svs
