,train,val,test
0,TCGA-4P-AA8J-01Z-00-DX1.5B44796F-D099-4076-9CAF-B40C2B83F432.svs,TCGA-BA-5149-01Z-00-DX1.ecb9aaa2-68b0-47e2-b96f-8cd78bf0a6fb.svs,TCGA-BA-5149-01Z-00-DX1.ecb9aaa2-68b0-47e2-b96f-8cd78bf0a6fb.svs
1,TCGA-BA-4074-01Z-00-DX1.937DC1B1-C9A4-4E67-B5FD-A0C0C60D2628.svs,TCGA-BA-6869-01Z-00-DX1.6e58648e-3309-47bb-b2c7-b71bcd9dc69b.svs,TCGA-BA-6869-01Z-00-DX1.6e58648e-3309-47bb-b2c7-b71bcd9dc69b.svs
2,TCGA-BA-5151-01Z-00-DX1.32EE476B-128D-4153-A57C-CFA823B993A2.svs,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.svs,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.svs
3,TCGA-BA-5152-01Z-00-DX1.d85d709e-8627-46d4-8558-ce5bdad2d552.svs,TCGA-BB-4217-01Z-00-DX1.E351C8DB-F6CB-4327-9FEC-B9001E70C913.svs,TCGA-BB-4217-01Z-00-DX1.E351C8DB-F6CB-4327-9FEC-B9001E70C913.svs
4,TCGA-BA-5555-01Z-00-DX1.cffe9b77-36d4-49f1-86f8-90686c695985.svs,TCGA-BB-4228-01Z-00-DX1.170b1b9a-05ac-4115-965e-56c2af944f1f.svs,TCGA-BB-4228-01Z-00-DX1.170b1b9a-05ac-4115-965e-56c2af944f1f.svs
5,TCGA-BA-5556-01Z-00-DX1.6941a8fa-2f68-41d8-8661-82601570d901.svs,TCGA-BB-A6UM-01Z-00-DX1.403D4D0A-83F4-4D2F-9CBB-C7A1470AC565.svs,TCGA-BB-A6UM-01Z-00-DX1.403D4D0A-83F4-4D2F-9CBB-C7A1470AC565.svs
6,TCGA-BA-5557-01Z-00-DX1.40be784e-d030-414f-aecf-620c0f8d9be3.svs,TCGA-BB-A6UO-01Z-00-DX1.11D049DC-EFC3-47EB-B390-A694BFD304A2.svs,TCGA-BB-A6UO-01Z-00-DX1.11D049DC-EFC3-47EB-B390-A694BFD304A2.svs
7,TCGA-BA-6873-01Z-00-DX1.F0A84DE2-7A08-44D5-9FD1-A284F55AA8C1.svs,TCGA-CN-4727-01Z-00-DX1.bee9d488-0f05-4579-8c34-aa4197972bb1.svs,TCGA-CN-4727-01Z-00-DX1.bee9d488-0f05-4579-8c34-aa4197972bb1.svs
8,TCGA-BA-7269-01Z-00-DX1.A759601F-7513-47C6-B590-4ADAA3484CD9.svs,TCGA-CN-4730-01Z-00-DX1.a76280e8-6591-4d51-afc9-2f01e87346ab.svs,TCGA-CN-4730-01Z-00-DX1.a76280e8-6591-4d51-afc9-2f01e87346ab.svs
9,TCGA-BA-A6D8-01Z-00-DX1.0198253B-84AC-484E-9A58-F7CF8AEBE922.svs,TCGA-CN-4731-01Z-00-DX1.07b0bf3b-77f3-4471-a63c-1afc54714a60.svs,TCGA-CN-4731-01Z-00-DX1.07b0bf3b-77f3-4471-a63c-1afc54714a60.svs
10,TCGA-BA-A6DA-01Z-00-DX1.8BFA179A-8E8A-45DC-A036-77A7D6ABB7EA.svs,TCGA-CN-4739-01Z-00-DX1.e50266c3-606e-4103-a029-021246d4d1df.svs,TCGA-CN-4739-01Z-00-DX1.e50266c3-606e-4103-a029-021246d4d1df.svs
11,TCGA-BA-A6DB-01Z-00-DX1.6EC4113A-D48B-4F83-84EF-1A811C67FDFE.svs,TCGA-CN-4741-01Z-00-DX1.6adfce37-b5b0-44ff-834e-85059eec24c0.svs,TCGA-CN-4741-01Z-00-DX1.6adfce37-b5b0-44ff-834e-85059eec24c0.svs
12,TCGA-BA-A6DD-01Z-00-DX1.5B67DD6F-811C-4DE2-894E-C8FE4CF7FBE7.svs,TCGA-CN-4742-01Z-00-DX1.d03eaeac-cc05-4b13-962e-d4d10617d692.svs,TCGA-CN-4742-01Z-00-DX1.d03eaeac-cc05-4b13-962e-d4d10617d692.svs
13,TCGA-BA-A6DE-01Z-00-DX1.3279D372-4A92-4CFA-9E52-19197934378D.svs,TCGA-CN-5358-01Z-00-DX1.6554cdc1-7d01-4310-a60a-79b8ed7a8679.svs,TCGA-CN-5358-01Z-00-DX1.6554cdc1-7d01-4310-a60a-79b8ed7a8679.svs
14,TCGA-BA-A6DJ-01Z-00-DX1.F83A347E-4442-4F06-9715-32E4C4E1A4FA.svs,TCGA-CN-5359-01Z-00-DX1.30a19cad-c2b0-4c5f-bd5d-89aa8ac2bb91.svs,TCGA-CN-5359-01Z-00-DX1.30a19cad-c2b0-4c5f-bd5d-89aa8ac2bb91.svs
15,TCGA-BA-A8YP-01Z-00-DX1.03B95E63-2639-49F6-B8DD-AC2C2FA872B1.svs,TCGA-CN-5364-01Z-00-DX1.caeed5d0-cd48-40f3-b81b-099637341563.svs,TCGA-CN-5364-01Z-00-DX1.caeed5d0-cd48-40f3-b81b-099637341563.svs
16,TCGA-BB-4223-01Z-00-DX1.8806b83e-910f-4ee8-aa83-f84e3d13155f.svs,TCGA-CN-5373-01Z-00-DX1.c423a74f-cdb6-41b1-9483-be854827434e.svs,TCGA-CN-5373-01Z-00-DX1.c423a74f-cdb6-41b1-9483-be854827434e.svs
