,train,val,test
0,TCGA-CS-4938-01Z-00-DX1.6660D726-8524-424A-B6E8-D97FFD9BCE01.svs,TCGA-CS-4942-01Z-00-DX1.67f7928e-e1d9-473b-a317-7c6b4ba7433f.svs,TCGA-CS-4942-01Z-00-DX1.67f7928e-e1d9-473b-a317-7c6b4ba7433f.svs
1,TCGA-CS-4941-01Z-00-DX1.56ac541d-9b1a-477b-af9c-0cc2cf7ff8d2.svs,TCGA-CS-4943-01Z-00-DX1.42332d6f-e16e-40ae-a629-69c537d79465.svs,TCGA-CS-4943-01Z-00-DX1.42332d6f-e16e-40ae-a629-69c537d79465.svs
2,TCGA-CS-4944-01Z-00-DX1.9AD74191-4445-4E77-BD62-B09363C8BB2A.svs,TCGA-CS-5394-01Z-00-DX1.2ef4d36b-2bf7-4079-990c-3733009db0bd.svs,TCGA-CS-5394-01Z-00-DX1.2ef4d36b-2bf7-4079-990c-3733009db0bd.svs
3,TCGA-CS-5393-01Z-00-DX1.29061bf4-af6c-445c-a5ca-86d99e81545d.svs,TCGA-CS-6670-01Z-00-DX1.A767AC46-DA02-41C6-8829-AE53DB0F386E.svs,TCGA-CS-6670-01Z-00-DX1.A767AC46-DA02-41C6-8829-AE53DB0F386E.svs
4,TCGA-CS-5395-01Z-00-DX1.389d3129-a006-4d96-bd0f-1f3240118e5b.svs,TCGA-DB-5278-01Z-00-DX2.39A970EE-DD46-4766-82BE-6B9DBFE57F3E.svs,TCGA-DB-5278-01Z-00-DX2.39A970EE-DD46-4766-82BE-6B9DBFE57F3E.svs
5,TCGA-CS-5396-01Z-00-DX1.63f3413b-a950-417a-a49e-9d01efe45c88.svs,TCGA-DB-A4XF-01Z-00-DX2.EB54301F-63CD-4648-AA38-67332840B8B2.svs,TCGA-DB-A4XF-01Z-00-DX2.EB54301F-63CD-4648-AA38-67332840B8B2.svs
6,TCGA-CS-5397-01Z-00-DX1.4AB09928-C5EA-4310-9303-ACD040E4C2B9.svs,TCGA-DB-A4XG-01Z-00-DX2.6EC94BAA-8653-4697-AAAA-0B4AF88A82AE.svs,TCGA-DB-A4XG-01Z-00-DX2.6EC94BAA-8653-4697-AAAA-0B4AF88A82AE.svs
7,TCGA-CS-6186-01Z-00-DX1.0CF5363F-B6E6-459C-93FD-0BE69F18A51B.svs,TCGA-DB-A64R-01Z-00-DX1.0A2B114A-F7CA-4D94-A7E4-CA482F92B214.svs,TCGA-DB-A64R-01Z-00-DX1.0A2B114A-F7CA-4D94-A7E4-CA482F92B214.svs
8,TCGA-CS-6188-01Z-00-DX1.1a0175f4-cc20-40b3-9cd3-ef4d1ff95d86.svs,TCGA-DB-A64V-01Z-00-DX1.F6D441CA-6613-4F91-9E54-0FBB3F17CE08.svs,TCGA-DB-A64V-01Z-00-DX1.F6D441CA-6613-4F91-9E54-0FBB3F17CE08.svs
9,TCGA-CS-6665-01Z-00-DX1.0805163E-0752-4383-B9EC-877B505672B8.svs,TCGA-DB-A75L-01Z-00-DX2.D7AA483E-9CFB-4357-922F-5C2BFCC6159C.svs,TCGA-DB-A75L-01Z-00-DX2.D7AA483E-9CFB-4357-922F-5C2BFCC6159C.svs
10,TCGA-CS-6666-01Z-00-DX1.6F91FE79-CCA6-401C-9C3C-74B2F9C9DF4A.svs,TCGA-DH-A66D-01Z-00-DX1.95468350-314C-40AF-B409-14E3DE8B2AF8.svs,TCGA-DH-A66D-01Z-00-DX1.95468350-314C-40AF-B409-14E3DE8B2AF8.svs
11,TCGA-CS-6667-01Z-00-DX1.48760481-6237-4876-AA57-612FDADFFC63.svs,TCGA-DH-A7UU-01Z-00-DX1.ECE10796-B224-404A-96BC-2D40601A7196.svs,TCGA-DH-A7UU-01Z-00-DX1.ECE10796-B224-404A-96BC-2D40601A7196.svs
12,TCGA-CS-6668-01Z-00-DX1.D6E80501-5B34-499A-9899-8167575DBBDB.svs,TCGA-DU-5871-01Z-00-DX1.50906dc0-cc83-473a-ac50-17d9f6ee1bc3.svs,TCGA-DU-5871-01Z-00-DX1.50906dc0-cc83-473a-ac50-17d9f6ee1bc3.svs
13,TCGA-CS-6669-01Z-00-DX1.B1D9D967-ED63-48F7-9E9F-12B3E74EB0E8.svs,TCGA-DU-6392-01Z-00-DX1.f44c08a3-d488-483d-b760-f23b0160f832.svs,TCGA-DU-6392-01Z-00-DX1.f44c08a3-d488-483d-b760-f23b0160f832.svs
14,TCGA-DB-5270-01Z-00-DX2.F5F8D418-C805-4293-9688-1CA899A6D15B.svs,TCGA-DU-6402-01Z-00-DX1.d7027057-55c3-435a-ac9a-41d353f120db.svs,TCGA-DU-6402-01Z-00-DX1.d7027057-55c3-435a-ac9a-41d353f120db.svs
15,TCGA-DB-5270-01Z-00-DX1.E0795F24-4D23-408A-8871-2675EC577C23.svs,TCGA-DU-6407-01Z-00-DX1.191e7dfe-7bb3-446f-ba9d-8123b83f75d9.svs,TCGA-DU-6407-01Z-00-DX1.191e7dfe-7bb3-446f-ba9d-8123b83f75d9.svs
16,TCGA-DB-5273-01Z-00-DX1.9E85A2F5-FB10-4C9F-A612-19FFB955C9FF.svs,TCGA-DU-7008-01Z-00-DX1.C4A4B091-9F79-4B12-AACE-521CF12DFF1C.svs,TCGA-DU-7008-01Z-00-DX1.C4A4B091-9F79-4B12-AACE-521CF12DFF1C.svs
17,TCGA-DB-5273-01Z-00-DX2.4240617C-BD85-4841-A61E-62EB9C143076.svs,TCGA-DU-7014-01Z-00-DX1.8BF185BC-AE93-4FA6-8672-10CFA214FF62.svs,TCGA-DU-7014-01Z-00-DX1.8BF185BC-AE93-4FA6-8672-10CFA214FF62.svs
18,TCGA-DB-5274-01Z-00-DX2.958D3EC3-7E76-4E0D-ACB2-BA67196DAB75.svs,TCGA-DU-7015-01Z-00-DX1.E604489D-E82C-4129-9CDC-16AD1D33B3F2.svs,TCGA-DU-7015-01Z-00-DX1.E604489D-E82C-4129-9CDC-16AD1D33B3F2.svs
19,TCGA-DB-5274-01Z-00-DX1.28F042EC-7A2E-4AEC-B67A-EF1684BC1361.svs,TCGA-DU-7290-01Z-00-DX1.6C7C6F04-43D1-43B4-A68D-677E25AD5627.svs,TCGA-DU-7290-01Z-00-DX1.6C7C6F04-43D1-43B4-A68D-677E25AD5627.svs
