,train,val,test
0,TCGA-2Y-A9GS-01Z-00-DX1.75C5CEF1-6C8B-42FF-82F6-9A05621E9A80.svs,TCGA-2Y-A9H0-01Z-00-DX1.E1725D1E-B135-47B3-820B-BEE1FC4EDCF0.svs,TCGA-2Y-A9H0-01Z-00-DX1.E1725D1E-B135-47B3-820B-BEE1FC4EDCF0.svs
1,TCGA-2Y-A9GT-01Z-00-DX1.30666775-3556-4DFE-A5EC-8CCF8EEB1803.svs,TCGA-2Y-A9H5-01Z-00-DX1.08348C3C-A16F-45F6-8AE9-D0613268D703.svs,TCGA-2Y-A9H5-01Z-00-DX1.08348C3C-A16F-45F6-8AE9-D0613268D703.svs
2,TCGA-2Y-A9GU-01Z-00-DX1.700CBBD7-9F58-470D-A85B-C7BAE5608018.svs,TCGA-4R-AA8I-01Z-00-DX1.99273858-6CCB-4AD3-8FFF-9E47293F0CD6.svs,TCGA-4R-AA8I-01Z-00-DX1.99273858-6CCB-4AD3-8FFF-9E47293F0CD6.svs
3,TCGA-2Y-A9GV-01Z-00-DX1.524FA6DD-7C84-425C-A2B5-17690DF50A28.svs,TCGA-5C-AAPD-01Z-00-DX1.D64255FC-83A4-497E-AAFC-D8E92966D30A.svs,TCGA-5C-AAPD-01Z-00-DX1.D64255FC-83A4-497E-AAFC-D8E92966D30A.svs
4,TCGA-2Y-A9GW-01Z-00-DX1.71805205-933D-4D72-A4A2-586DC5490D76.svs,TCGA-5R-AA1D-01Z-00-DX1.3B9C354E-7523-479C-955D-7D409D475C0C.svs,TCGA-5R-AA1D-01Z-00-DX1.3B9C354E-7523-479C-955D-7D409D475C0C.svs
5,TCGA-2Y-A9GX-01Z-00-DX1.DC3E1EAB-686A-44F9-91AF-0C6975DE029E.svs,TCGA-BC-A5W4-01Z-00-DX1.57017E96-B611-420D-BEED-021B928A1BA8.svs,TCGA-BC-A5W4-01Z-00-DX1.57017E96-B611-420D-BEED-021B928A1BA8.svs
6,TCGA-2Y-A9GY-01Z-00-DX1.9AF8DAB8-B99C-4484-A065-20E7345E1FF4.svs,TCGA-BW-A5NQ-01Z-00-DX1.F5543010-CBEB-4BA3-8402-1332A8617A76.svs,TCGA-BW-A5NQ-01Z-00-DX1.F5543010-CBEB-4BA3-8402-1332A8617A76.svs
7,TCGA-2Y-A9GZ-01Z-00-DX1.4E8C9A7D-D21D-4B6E-8C1B-DC520309AB91.svs,TCGA-CC-5263-01Z-00-DX1.9CB478BC-3470-4930-976B-0419B180D57F.svs,TCGA-CC-5263-01Z-00-DX1.9CB478BC-3470-4930-976B-0419B180D57F.svs
8,TCGA-2Y-A9H1-01Z-00-DX1.FE4D124E-AB92-4083-8D09-F025B0C637EB.svs,TCGA-CC-A1HT-01Z-00-DX1.1E2B820B-BCFB-46B8-A43B-CA5F94F0A6D1.svs,TCGA-CC-A1HT-01Z-00-DX1.1E2B820B-BCFB-46B8-A43B-CA5F94F0A6D1.svs
9,TCGA-2Y-A9H2-01Z-00-DX1.D1B4968D-8AAD-4F12-8447-6FC752E8DDE4.svs,TCGA-CC-A3MB-01Z-00-DX1.5EF235F5-A3B1-4DBB-9D6E-03A9F7CB203F.svs,TCGA-CC-A3MB-01Z-00-DX1.5EF235F5-A3B1-4DBB-9D6E-03A9F7CB203F.svs
