,train,val,test
0,TCGA-3N-A9WC-01Z-00-DX1.C833FCAB-6329-4F90-88E5-CFDA0948047B.svs,TCGA-3N-A9WB-01Z-00-DX1.A9950ED4-9480-455C-AE0D-8E076D4DA432.svs,TCGA-3N-A9WB-01Z-00-DX1.A9950ED4-9480-455C-AE0D-8E076D4DA432.svs
1,TCGA-3N-A9WD-01Z-00-DX1.3B836595-3D67-4985-9D3B-39A7AE38B550.svs,TCGA-BF-A3DN-01Z-00-DX1.4A5A739C-FB1D-44A5-9CE2-FC4966D843B6.svs,TCGA-BF-A3DN-01Z-00-DX1.4A5A739C-FB1D-44A5-9CE2-FC4966D843B6.svs
2,TCGA-BF-A1PU-01Z-00-DX1.CB0A52E3-16A9-46B2-BBE1-149A6CAAB9CF.svs,TCGA-D3-A1Q1-06Z-00-DX1.7E87AE47-8145-464D-AFBC-82DEAC42F492.svs,TCGA-D3-A1Q1-06Z-00-DX1.7E87AE47-8145-464D-AFBC-82DEAC42F492.svs
3,TCGA-BF-A1PV-01Z-00-DX1.58ECB5AA-6FCE-419B-8DD0-6B8F6BC430CC.svs,TCGA-D3-A1Q6-06Z-00-DX1.01DE293A-473C-4011-88DF-4863F7CE1843.svs,TCGA-D3-A1Q6-06Z-00-DX1.01DE293A-473C-4011-88DF-4863F7CE1843.svs
4,TCGA-BF-A1PZ-01Z-00-DX1.7732293F-0BDD-4688-A112-5104C38E680B.svs,TCGA-D3-A1Q7-06Z-00-DX1.25BEC48C-7909-4D71-B428-F25F8105C409.svs,TCGA-D3-A1Q7-06Z-00-DX1.25BEC48C-7909-4D71-B428-F25F8105C409.svs
5,TCGA-BF-A3DJ-01Z-00-DX1.79340B5A-D0BC-410B-807E-D0B18239DBC4.svs,TCGA-D3-A1Q9-06Z-00-DX1.DBECA4A2-6BCF-4EA3-91F5-10E7F93DDD23.svs,TCGA-D3-A1Q9-06Z-00-DX1.DBECA4A2-6BCF-4EA3-91F5-10E7F93DDD23.svs
6,TCGA-BF-A3DL-01Z-00-DX1.19B241AC-405E-4C47-8582-7B8B6C6D58CE.svs,TCGA-D3-A2JE-06Z-00-DX1.71482107-04E7-4DB6-873A-F68DC4F8C0D1.svs,TCGA-D3-A2JE-06Z-00-DX1.71482107-04E7-4DB6-873A-F68DC4F8C0D1.svs
7,TCGA-BF-A3DM-01Z-00-DX1.531B67D8-67DB-4729-B5E1-74304CF431FE.svs,TCGA-D3-A2JL-06Z-00-DX1.3258F79C-866E-4AC5-BB16-F4DF65E9DFC2.svs,TCGA-D3-A2JL-06Z-00-DX1.3258F79C-866E-4AC5-BB16-F4DF65E9DFC2.svs
8,TCGA-BF-A5EO-01Z-00-DX1.1BA74189-485E-4ABF-8314-1E7F6BFF77EA.svs,TCGA-D3-A3BZ-06Z-00-DX1.2033A0DE-6437-4444-A294-28556667DF35.svs,TCGA-D3-A3BZ-06Z-00-DX1.2033A0DE-6437-4444-A294-28556667DF35.svs
9,TCGA-BF-A5EP-01Z-00-DX1.71203389-D158-4FBC-B55C-D1829AE33F77.svs,TCGA-D3-A3C6-06Z-00-DX1.AEAFE336-C5BC-4EC0-A869-14DCB44700CD.svs,TCGA-D3-A3C6-06Z-00-DX1.AEAFE336-C5BC-4EC0-A869-14DCB44700CD.svs
10,TCGA-BF-A5EQ-01Z-00-DX1.8B6B7B53-66A9-43B1-A223-21D7778F6EE7.svs,TCGA-D3-A3C8-06Z-00-DX1.FE6A00E4-C1B4-42D8-9B02-34AF74F61C94.svs,TCGA-D3-A3C8-06Z-00-DX1.FE6A00E4-C1B4-42D8-9B02-34AF74F61C94.svs
11,TCGA-BF-AAP0-01Z-00-DX1.E194AEF2-65FC-47DB-985B-93FF6CA62086.svs,TCGA-D3-A3CB-06Z-00-DX1.9862D604-C9E7-44BE-99E2-AB9883B1873E.svs,TCGA-D3-A3CB-06Z-00-DX1.9862D604-C9E7-44BE-99E2-AB9883B1873E.svs
12,TCGA-D3-A1Q4-06Z-00-DX1.6AD7BBBD-BB47-4D71-B467-7694A441D0BA.svs,TCGA-D3-A51H-06Z-00-DX1.33682556-776F-42B4-BA36-05E973FF276E.svs,TCGA-D3-A51H-06Z-00-DX1.33682556-776F-42B4-BA36-05E973FF276E.svs
13,TCGA-D3-A1Q8-06Z-00-DX1.1E0D455B-62EB-445F-9758-F2E4E304AA82.svs,TCGA-D3-A5GN-06Z-00-DX1.3E767456-45E7-43CD-B5CD-2162C7EB4B05.svs,TCGA-D3-A5GN-06Z-00-DX1.3E767456-45E7-43CD-B5CD-2162C7EB4B05.svs
14,TCGA-D3-A1QA-06Z-00-DX1.FDAEC5FD-E0C9-4B7A-8C21-00D4E8792F4F.svs,TCGA-D3-A5GT-06Z-00-DX1.9B6B1D66-BE1E-481D-B8BE-F782CC1C2FF3.svs,TCGA-D3-A5GT-06Z-00-DX1.9B6B1D66-BE1E-481D-B8BE-F782CC1C2FF3.svs
15,TCGA-D3-A1QA-07Z-00-DX1.FF80DD52-540E-4378-BAC8-F229ABF5411A.svs,TCGA-D3-A8GK-06Z-00-DX1.EB94CDEC-CA59-4901-B979-0B22132BCA0E.svs,TCGA-D3-A8GK-06Z-00-DX1.EB94CDEC-CA59-4901-B979-0B22132BCA0E.svs
16,TCGA-D3-A1QB-06Z-00-DX1.45F27045-0EF1-4C33-9558-C1832E6BFBED.svs,TCGA-D9-A3Z1-06Z-00-DX1.ECFEE77E-D5FA-4264-9CC6-41E76CFAF104.svs,TCGA-D9-A3Z1-06Z-00-DX1.ECFEE77E-D5FA-4264-9CC6-41E76CFAF104.svs
17,TCGA-D3-A2J6-06Z-00-DX1.1E4860D2-EC44-47BA-88AD-CE524E3CC2B7.svs,TCGA-D9-A3Z4-01Z-00-DX2.6EE916B0-7119-41CE-9754-37CD8E5CB1C2.svs,TCGA-D9-A3Z4-01Z-00-DX2.6EE916B0-7119-41CE-9754-37CD8E5CB1C2.svs
18,TCGA-D3-A2J7-06Z-00-DX1.57EC1671-0AA2-426D-BD5D-251AC0C63556.svs,TCGA-DA-A1HV-01Z-00-DX1.1206FAE0-BC4B-494B-923F-3EF8830F2EDA.svs,TCGA-DA-A1HV-01Z-00-DX1.1206FAE0-BC4B-494B-923F-3EF8830F2EDA.svs
19,TCGA-D3-A2J8-06Z-00-DX1.5FB8E98F-EAFF-491F-856D-49A68542A3E1.svs,TCGA-DA-A1IC-01Z-00-DX1.8977B7B8-0F31-4255-8A7F-B47676854BE7.svs,TCGA-DA-A1IC-01Z-00-DX1.8977B7B8-0F31-4255-8A7F-B47676854BE7.svs
20,TCGA-D3-A2J9-06Z-00-DX1.5526CFD6-96AB-49F8-B88C-DC9DC5E349F0.svs,TCGA-EB-A24D-01Z-00-DX1.32127705-0E27-489D-8639-DD58EE59A61D.svs,TCGA-EB-A24D-01Z-00-DX1.32127705-0E27-489D-8639-DD58EE59A61D.svs
21,TCGA-D3-A2JA-06Z-00-DX1.B2D576DF-C876-4385-9F85-23ACBDF30AF7.svs,TCGA-EB-A3XF-01Z-00-DX1.D381AAB4-242B-45E1-B6A2-DC07D1BF9A02.svs,TCGA-EB-A3XF-01Z-00-DX1.D381AAB4-242B-45E1-B6A2-DC07D1BF9A02.svs
22,TCGA-D3-A2JC-06Z-00-DX1.C5D339EB-672E-41B5-BB6F-008D22E84E1B.svs,TCGA-EB-A42Y-01Z-00-DX1.C2F1ACDE-A147-4CAD-AB46-B1A4632BB4A7.svs,TCGA-EB-A42Y-01Z-00-DX1.C2F1ACDE-A147-4CAD-AB46-B1A4632BB4A7.svs
23,TCGA-D3-A2JD-06Z-00-DX1.B6DBA83D-6C77-4F73-87B8-30487C8AB7C1.svs,TCGA-EB-A44O-06Z-00-DX1.788C33F2-3766-4792-B8DF-52C5F3E8AEDB.svs,TCGA-EB-A44O-06Z-00-DX1.788C33F2-3766-4792-B8DF-52C5F3E8AEDB.svs
24,TCGA-D3-A2JF-06Z-00-DX1.1AD134CC-6844-45CC-BEC2-46F487356703.svs,TCGA-EB-A4IQ-01Z-00-DX1.C9F9D585-C34F-4771-9BE7-5E8CBE15EF0A.svs,TCGA-EB-A4IQ-01Z-00-DX1.C9F9D585-C34F-4771-9BE7-5E8CBE15EF0A.svs
25,TCGA-D3-A2JG-06Z-00-DX1.996E2017-70CA-4B6A-AB85-A170911BF9F2.svs,TCGA-EB-A553-01Z-00-DX1.5DB62584-E538-4C83-8996-7F3AD478F4F1.svs,TCGA-EB-A553-01Z-00-DX1.5DB62584-E538-4C83-8996-7F3AD478F4F1.svs
26,TCGA-D3-A2JH-06Z-00-DX1.52FC3D80-FB2B-4427-AABB-1396A200F3CD.svs,TCGA-EB-A57M-01Z-00-DX1.FDE6CE11-9236-464B-ADDC-361FDD7CD8E6.svs,TCGA-EB-A57M-01Z-00-DX1.FDE6CE11-9236-464B-ADDC-361FDD7CD8E6.svs
27,TCGA-D3-A2JK-06Z-00-DX1.B53201B1-E21D-4275-9D5D-31890053171D.svs,TCGA-EB-A5UM-01Z-00-DX1.6F0E5CD6-FE4C-46F9-A095-59CF750A053A.svs,TCGA-EB-A5UM-01Z-00-DX1.6F0E5CD6-FE4C-46F9-A095-59CF750A053A.svs
28,TCGA-D3-A2JN-06Z-00-DX1.0AA7684E-2886-4A00-B808-39EA790B825A.svs,TCGA-EB-A5UN-06Z-00-DX1.A3554E02-198F-48CA-A055-FF9D617C2B11.svs,TCGA-EB-A5UN-06Z-00-DX1.A3554E02-198F-48CA-A055-FF9D617C2B11.svs
29,TCGA-D3-A2JO-06Z-00-DX1.86BF4C7D-5A0B-4BD8-9928-A07A4FF14272.svs,TCGA-EB-A6L9-01Z-00-DX1.9A8D8B31-426B-40E8-98AC-47E50BBBDFB0.svs,TCGA-EB-A6L9-01Z-00-DX1.9A8D8B31-426B-40E8-98AC-47E50BBBDFB0.svs
30,TCGA-D3-A2JP-06Z-00-DX1.5418E86B-EF73-4430-B322-AE6D88CE04F0.svs,TCGA-EE-A17X-01Z-00-DX1.409BD384-0F2E-4F05-9AE5-F523B51FF3B8.svs,TCGA-EE-A17X-01Z-00-DX1.409BD384-0F2E-4F05-9AE5-F523B51FF3B8.svs
31,TCGA-D3-A3C7-06Z-00-DX1.A58D75D7-369A-4CC0-B2AB-E781AA162915.svs,TCGA-EE-A20B-01Z-00-DX1.BAA59F59-B286-4DAF-BB9E-0FCCD09E67C4.svs,TCGA-EE-A20B-01Z-00-DX1.BAA59F59-B286-4DAF-BB9E-0FCCD09E67C4.svs
32,TCGA-D3-A3CC-06Z-00-DX1.6C3A3EDF-F69F-4719-B4A7-DC32118051CB.svs,TCGA-EE-A20F-01Z-00-DX1.78401458-3FDA-4D9D-8567-878E6D28EF5C.svs,TCGA-EE-A20F-01Z-00-DX1.78401458-3FDA-4D9D-8567-878E6D28EF5C.svs
33,TCGA-D3-A3CE-06Z-00-DX1.145E1202-3B59-40D8-A8B6-33B3A26E7282.svs,TCGA-EE-A29A-01Z-00-DX1.75D346DD-8932-4248-B8BD-CA20CBBC352C.svs,TCGA-EE-A29A-01Z-00-DX1.75D346DD-8932-4248-B8BD-CA20CBBC352C.svs
34,TCGA-D3-A3CF-06Z-00-DX1.34257FE7-9EF7-454E-8384-3BB81771F629.svs,TCGA-EE-A29C-01Z-00-DX1.B81B53D4-EE33-49BB-A07D-CDE2ADA776F2.svs,TCGA-EE-A29C-01Z-00-DX1.B81B53D4-EE33-49BB-A07D-CDE2ADA776F2.svs
35,TCGA-D3-A3MO-06Z-00-DX1.F375C5A1-723B-4F61-B1AB-6AF1B944A327.svs,TCGA-EE-A29M-01Z-00-DX1.B8AD762F-33AD-4A91-8366-5415677614BB.svs,TCGA-EE-A29M-01Z-00-DX1.B8AD762F-33AD-4A91-8366-5415677614BB.svs
36,TCGA-D3-A3MR-06Z-00-DX1.D05823A5-C823-471F-8992-72AFA58DB37A.svs,TCGA-EE-A29N-01Z-00-DX1.9842217A-23B9-40CA-91CE-D83F8DFD7A0B.svs,TCGA-EE-A29N-01Z-00-DX1.9842217A-23B9-40CA-91CE-D83F8DFD7A0B.svs
37,TCGA-D3-A3MV-06Z-00-DX1.C06EECC4-8DA7-4432-8FEC-7A5ED82E21CB.svs,TCGA-EE-A2GD-01Z-00-DX1.5B1A9F5D-96DC-4E66-9162-A58564B06322.svs,TCGA-EE-A2GD-01Z-00-DX1.5B1A9F5D-96DC-4E66-9162-A58564B06322.svs
38,TCGA-D3-A51E-06Z-00-DX1.819FF689-47EB-468E-A9C1-5205951F69C0.svs,TCGA-EE-A2GI-01Z-00-DX1.3555691F-4DCF-45E9-9360-A7F34361B7AA.svs,TCGA-EE-A2GI-01Z-00-DX1.3555691F-4DCF-45E9-9360-A7F34361B7AA.svs
39,TCGA-D3-A51F-06Z-00-DX1.ACABF227-3D3C-4490-A075-7D711BB34675.svs,TCGA-EE-A2GJ-01Z-00-DX1.8B3B8765-AA75-47E6-80F1-8638D484185C.svs,TCGA-EE-A2GJ-01Z-00-DX1.8B3B8765-AA75-47E6-80F1-8638D484185C.svs
40,TCGA-D3-A51J-06Z-00-DX1.A292E5D2-B00F-400B-875D-6C57E215A29E.svs,TCGA-EE-A2GL-01Z-00-DX1.31E43C43-C18B-4AE7-8AB7-7815718ED76D.svs,TCGA-EE-A2GL-01Z-00-DX1.31E43C43-C18B-4AE7-8AB7-7815718ED76D.svs
